grid_id,note
TIMG.E-NW.I18,"Christofle calls this the large house discovered in 1916 north of the Capitol [Christofle 1930: 61-62]. Germain describes a vast building on the west side of a street that leaves the *decumanus* on a north-west to south-east line, bordering it for about a hundred metres with a width of twenty. Three entrances open on the street, two of them behind porticoes, and lead to three courts, the northern one giving access to baths in the north-west part, while a great gallery of 40 by 4 m runs along the whole west side [Germain 1969: 106]. The largest room, 10 by 14 m, opened on the gallery by three doors and was paved with a marine procession around a river god and, to the east, still-life medallions [Germain 1969: 109, 111]. Two more panels show river gods, one from the gallery with the words FLVMEN VAMACCVRA [Germain 1969: 106-107, 113]. Repairing walls in 1927-29, Christofle found a further mosaic, 1.50 m square, with a laurel wreath [Christofle 1930: 62]. Germain found it hard to see the building as a simple private house and thought its arrangements pointed to *un usage collectif* [Germain 1969: 106, 118]. Ballu's own reports on this house are not yet among the sources read for this record."
TIMG.E-NW.I19,"Christofle found this small house about thirty metres north of the north wall of the large house north of the Capitol, and describes an *atrium* with rooms on three sides. The *atrium* was still fully paved, and eight sandstone columns without bases, 2.35 m high, were found standing and carried the four porticoes. At the centre was a basin whose south slab was cut in steps so that the overflow fell as a cascade, and one of its pillars was grooved for the lead pipe that fed it [Christofle 1930: 62, 64]. The entrance was at the north-east angle, where a vestibule with a concrete floor sloping down from the street led to a stair of five steps. The rooms had concrete floors, and the finest, which Christofle calls the *tablinum*, lay on the south side, measured 6.40 by 5.40 m and opened on the axis of the court by a double door 1.95 m wide [Christofle 1930: 64]. He also reports a house cleared in 1927, 50 metres south of the *Château d'eau*, with the same paved *atrium*, basin and eight columns, without saying that it is this one [Christofle 1930: 58, 68]."
TIMG.E-NW.I20,"Ballu found this house in 1922, when soundings west of the Filadelfes Baths led first to private baths and then to the house itself, and he finished clearing its south side in 1923 [Ballu, Rapport 1922: 47; Ballu, Rapport 1923: 45-46]. He places it outside the city wall and gives its total area as 2,464 m², where Germain gives about 2,500 m² and counts about forty rooms [Ballu, Rapport 1922: 47; Germain 1969: 81]. The south front had five independent shops and two entrances, each with a two-column porch [Ballu, Rapport 1922: 47; Ballu, Rapport 1923: 46]. The first part lay around a court of 21.55 by 10.05 m that Ballu calls the *atrium*, with a *tablinum* of 8.45 by 9.70 m off its west portico, a stair to an upper floor, and small private baths in the north-east corner [Ballu, Rapport 1922: 48-52]. The north portico and three rooms behind it had mosaics, and Germain assigns the floral ones probably to the early third century CE [Ballu, Rapport 1922: 49-50; Ballu, Rapport 1923: 48-51; Germain 1969: 85]. The second court had fourteen columns on three sides and a central well, but the rooms around it were badly ruined [Ballu, Rapport 1922: 52]. A brick kiln, a pottery kiln and Christian children's graves came later [Ballu, Rapport 1922: 49, 53]. Rebuffat thought the room between the courts was probably a *triclinium* [Rebuffat 1969: 678]."
TIMG.E-SW.I1,"This house north-west of the South Baths, cleared in 1900 and 1901, was first reported by Gsell and described in full by Ballu, who traced the original town wall running through it [Gsell 1902: 315-316; Ballu 1903: 10, 81-89]. Ballu gives a rectangle of 62 by 36.50 m, or 2,263 square metres, whereas Germain gives 3,600 m² [Ballu 1903: 81; Germain 1969: 59]. The main entrance, on the *Cardo Maximus* behind a portico of eight columns, led through a paved vestibule to Ballu's *atrium*, a court of 14 by 12 m with a long basin; steps at the end of the vestibule led to private baths, and Ballu attributed two further bath rooms to the servants [Ballu 1903: 83-84]. Beyond the *tablinum*, whose mosaic went to the museum, a stone-paved peristyle court held a basin with a carved marble bowl above a lower tank that Ballu read as a fish pond [Ballu 1903: 84-86]. A base from the baths reading *Hygiae Aug(ustae) Faustus et Valentina* led Vars to ask, and Ballu to conclude, that the owners were M. Plotius Faustus Sertius and his wife, donors of the market [Gsell 1902: 316; Ballu 1903: 88]. Germain dated the mosaics between the early third and early fifth centuries CE, and Christofle later listed an inscribed column-die from the peristyle [Germain 1969: 64; Christofle 1938: 445]."
TIMG.E-SW.I2,"First uncovered in 1905, the building stands 8 metres from the Lambèse gate on the south side of the *decumanus*, behind a portico of eight bays [Ballu, report on 1905, BCTH 1906: 201; Ballu 1911a: 49; Germain 1969: 88]. Ballu saw that the kerb before the widest bay had been worn by carts backing up to unload, and that a wide door led into a paved hall 10.40 m square [Ballu 1911a: 49]. Beyond lay a court of 12.50 by 20 m with a basin and porticoes on four sides, their stuccoed sandstone columns joined by stone slabs 1 m high. The south gallery, raised 1.50 m and paved in marble, opened through three doors onto a hall of 8.20 by 10.25 m with a fine mosaic and onyx-breccia wall panels. Ballu read this gallery as a platform for sales and the building, 25 by 69 m, as a warehouse and perhaps an auction hall [Ballu 1911a: 50-53]. Christofle, who finished the clearance and restoration, was inclined to see instead a complete Roman *villa* with an *atrium* and a second court, the *peristylium*, with four heated rooms of private baths south of it and a Medusa mosaic under its south portico [Christofle 1930: 58-62]. Rebuffat takes the west hall for the original *triclinium* and the south hall for one taken from a neighbouring house, and asks for a study of the alterations [Rebuffat 1969: 677]."
TIMG.E-SW.I5,"Ballu places this building, 28 by 60 m, east of the southern *cardo*, with its single façade on the *voie des Thermes* north of the Large South Baths, and thought its broad divisions more like a public establishment than a private house [Ballu 1903: 90-91]. Five shops under a portico lined the west side [Ballu 1903: 91]. The main entrance, at the western end, led through a vestibule and a gallery to a hall of 11 by 7.60 m, which Rebuffat takes for the *triclinium*, and to two hypocaust rooms [Ballu 1903: 91; Rebuffat 1969: 677]. Beyond was a court of 23 by 19 m with porticoes on twenty-two columns, mosaic floors including an inscribed panel read as a game board, and a narrow basin that the 1905 account calls a late addition [Ballu 1903: 91-92; BCB 1905: 323]. Of six rooms on the south, Ballu thought the first might be a stairwell to an upper floor, and the sixth held the mosaic of a hermaphrodite attended by two women, now in the museum, placed by the 1905 account on a threshold [Ballu 1903: 92-94; BCB 1905: 325]. The town wall closed the north, and Germain places the house against the outside of the south wall of Trajan's town, listing it with the quarter of the south gate [Ballu 1903: 91-92; Germain 1969: 65, 150]."
TIMG.NE.I1,"This house held the corner of the city's two great streets, the Cardo and the Decumanus, directly south of the library, with porticoes along both. Four shops opened under the Decumanus portico, cut off from the dwelling by a continuous wall, and private baths filled the north-west corner. Its largest room kept two fine ornamental mosaics, and the tablinum beside the well-preserved atrium carried the picture mosaic of a nereid borne by a marine centaur, which Ballu judged the best preserved yet found at Timgad. All three mosaics went to the museum [Ballu 1911: 83-85]."
TIMG.NE.I13,"First block of the fourth row, on the east side of the Cardo, entered from the street on its north side: a paved atrium with a fountain on its east side and a finely worked rainwater stone, six rooms in the southern part and ten, at a lower level, in the northern part [Ballu 1911: 81]."
TIMG.NE.I14,"Second block of the fourth row, divided in two by a wall parallel to the Cardo. The western section kept a brick water conduit crossing a room of 10 by 8 metres, a sandstone-paved atrium, and a mosaic of white, red and black cubes forming squares interlaced in lozenges. Ballu judged the house luxurious in its prime, later demolished and long reoccupied; a small engraved figure of a dancer was found on one of its limestone slabs [Ballu 1911: 81-82]."
TIMG.NE.I15,"Third block of the fourth row, east of the previous one: a paved atrium with a basin on the north face, ringed by rooms on all four sides. Ballu found the building of little interest [Ballu 1911: 82]."
